Gene	Count
PEX13	2
ZNF354A	2
REP15	5
GSTCD	0
P2RY1	1
C9orf129	1
C1orf177	7
VHL	1
NUDT9	2
AC096677.1	0
SPC25	1
MGLL	3
EBNA1BP2	2
C1D	0
FAM71E2,CTD-2105E13.6	0
NUDT21	3
OR8H1	0
TSR2	0
CPSF3L	11
HIST1H2BD	0
PRR14	7
GINS3	2
PDZK1	1
KLK12	10
PUS10	1
AL133481.1	0
KLF11	6
MURC	1
SYS1-DBNDD2	0
AMACR	4
CCDC124	1
DUOX1	12
SLC25A45	7
AC015989.2	0
RGS18	1
CNBD2	2
BTG4	1
TGM6	12
BTBD16	6
PCK1	11
LGR5	7
AKAP7	1
GUF1	7
OR5L2	0
PRNP	13
SLC16A5	13
HIST1H2AH	10
SMS	0
PSCA	1
BLOC1S1	1
CCDC102B	3
AGTR2	0
KLRC4-KLRK1,KLRC4	1
FGF4	3
LIN7B	1
IRGQ	14
KRT17	14
HIGD2B	1
FASTKD2	0
ARHGDIG	4
SIX6	5
CCDC85C	0
CCL25	2
PKIG	0
DNM1	6
AC090616.2	0
TMC4	6
CHRNA10	7
FNBP1	4
COMMD5	0
G6PC3	4
CYTH3	6
LRRC45	7
CCL16	0
NEURL4	27
ST6GALNAC5	6
FBXO28	1
PRR23A	4
DNAH7	28
PROL1	2
C7orf43	3
C19orf53	1
KRTAP19-4	2
PDLIM3	12
TFF1	0
OR5K1	1
NCCRP1	0
CDCP2	9
TRBV2	0
ADCY2	12
EIF2AK4	15
KMO	3
BRWD1	20
HS3ST5	5
SNF8	5
LINC00998	0
NUDT14	6
FAM65C	12
SLC10A6	2
ZNF891	1
CLEC2B	0
ZFYVE21	4
RETSAT	7
GGN	11
TSSC1	4
PLAUR	6
GABARAPL2	0
THYN1	2
RASL10B	0
ZNF444	2
ARHGDIA	3
PDZD3	5
RAPGEF6	0
C9orf9	2
PYY	3
TRAF4	2
TRIM63	5
C11orf30	4
CHKB-CPT1B,CHKB	0
UBTD2	2
APOLD1	5
TCEAL1	0
FLJ00418,MTSS1L	1
GJB5	4
VPRBP	7
FASN	49
COLQ	11
TRAPPC10	8
DPY19L4	5
MED16	18
LRRC6	1
MAP3K12	19
RBX1	1
ARL6IP1	0
VPS51	2
UHRF2	6
C1orf65	6
DNASE2B	7
IGHV2OR16-5	0
CDK7	2
SIK2	1
ZNF410	1
DCAF4L1	4
GYPB	0
AC020907.1	3
TAX1BP1	2
ATF1	3
FBLN7	6
PCDHB14	0
HSD3B2	0
VIT	9
ACTBL2	4
MME	4
PRSS54	2
OR52I1	0
SGMS2	1
PSORS1C2	1
TRIM23	5
DOLK	8
HSPH1	7
EFR3A	5
PPP2R5E	1
HPX	9
AC004899.1	4
NDST3	7
PLA2G12B	1
EVI2B	1
AKAP9	15
PYCR2	4
OR11L1	3
METTL2B	2
IRX3	9
MKL2	6
MUC13	5
MOCS2	1
BTN3A2	1
NPIPB4	0
EIF2S3L	7
DKFZP761K2322	0
ARHGAP29	6
TMEM209	3
OR6C4	1
HIST1H2BH	0
C12orf45	1
ZNF544	4
HEPHL1	15
STEAP1	0
SPATA31A7	0
CDS2	6
MMP3	4
CYBA	3
SAAL1	2
C16orf72	3
ADAM12	12
PTHLH	2
ZSCAN22	7
UBA2	8
STARD7	3
AC022431.2	0
ZNF92	3
WDR65	4
MED26	3
SETD9	6
HR	30
TMEM50B	1
SMARCC1	9
KNTC1	16
PNN	4
ZNF879	3
TRBV6-6	0
HSD17B2	10
C11orf96	1
RELB	9
TNIK	12
ZNF548,AC003002.4	1
PRMT6	10
OR5C1	3
KRT19	11
LAMTOR5	2
STPG2	2
FAM195A	1
NT5DC2	4
C11orf49	3
DRAM2	3
DNAJC12	0
GRK6	7
RPL21	0
PVRIG	3
TRAV38-1	0
CTB-134H23.2	0
PAK4	9
KCNA5	15
MASP1	12
TUBG2	2
NBEAL2	39
KBTBD3	5
MYO1B	5
ELP6	2
MRAS	1
TAS2R5	1
TMSB15A	0
SPATS1	3
SGCD	1
SLC23A1	10
STAC2	4
TBC1D2	8
CNNM1	8
FOXN2	2
LMF1	13
MSTN	3
BBS9	7
MMP28	1
P2RX2	5
TMPRSS9	25
CRLF2	0
RPS10-NUDT3,RPS10	0
C20orf196	2
NUTM2D	0
ST8SIA4	3
RP11-613M10.9	0
FAM171B	5
CTSF	7
OR8H3	3
CTPS1	7
SP100	3
CASP5	1
TRBV30	0
CTSA	4
KBTBD11	6
KCNE2	1
ACHE	13
RPS4X	0
RERG	0
RP11-89K11.1	0
RAB40AL	0
POLR3E	8
KLHL12	6
S100A7A	0
GRIK2	14
MROH7-TTC4	1
BANF1	2
HBB	3
ZNF250	8
C14orf64	1
FANCA	10
RP11-144F15.1	0
DUSP8	8
C4orf17	2
SAP30BP	7
GNAT2	1
GIPC2	5
TRAV8-7	0
SPATA6L	1
C16orf87	1
XYLT2	12
ZNF561	4
CTC-360G5.8,SARS2	1
ZNF516	35
ZNF253	5
HEATR5A	0
ZNF134	8
HES3	3
AC061992.1	1
HBM	2
RFTN1	13
EIF3E	0
ZMYM2	6
ILF3	27
NKAIN1	3
SAP30	1
PARP16	1
SRPX	0
PADI3	7
KRT25	6
SLC30A9	6
GIF	1
RP11-248J23.7,ENTPD1	0
GHRHR	4
UBE2V1	0
FLG	88
DEK	1
SPAG16	3
LACE1	2
ST6GAL1	2
TYR	6
AVIL	13
ABCA12	22
C2orf81	4
IQCB1	3
NPAP1	0
NLRP9	2
RP11-712L6.5	0
HSD17B12	6
ACP1	2
NPIPA5	0
COPS8	2
C10orf76	2
KCNK18	3
HIST2H2AB	3
DCAF6	6
MS4A15	3
KIAA0408	5
TEX22	1
GLG1	7
LMBR1L	3
PIGW	3
PIP5K1B	5
RNASE9	0
CRISP3	4
TMEM131	16
OSMR	2
SPIN3	0
IGFLR1	5
TULP1	5
SMAD4	1
SPSB1	4
ERVFRD-1	0
LDLRAD1	6
TMEM186	5
P2RY14	0
ATP5S	4
BRWD3	0
OS9	5
ZNF597	2
KLHL18	13
OR4A15	2
GPR21	0
SPEF2	5
HAT1	3
WDR82	1
PSMD8	3
NPVF	1
C16orf93	3
SPNS3	20
SOCS5	3
MADCAM1	3
FKBP9	6
RIMS2	9
SMC3	3
NFIA	6
N4BP2	9
KRT82	13
AKAP3	7
TRAV12-3	1
PTMS	1
CMC4	0
VAX2	1
MAPK15	10
APOA4	2
TDRD7	3
NTN4	9
ELOVL2	2
ANKRD30BL	0
STK38L	3
TMEM78	0
AS3MT	2
KRTAP10-9	1
GPC4	0
SLK	8
ZBED6	1
PDXDC1	9
C12orf10	7
TAOK2	17
SLC8A1	9
MTX1	2
TAGAP	4
MYO18A	19
DHX29	6
PLEKHA5	6
TMEM35	0
PSMC5	4
KRBOX4	0
IDNK	3
KIAA0430	12
PI15	1
CGB1	0
C11orf53	2
CTC-360G5.8	0
KRTAP10-6	1
GRHPR	5
CCM2L	1
WNT10A	5
ADORA2B	2
TSHR	7
RNF40	7
FGD4	5
PPP1CC	3
CD79B	1
IVL	5
RBMXL3	0
FAM168B	1
ROPN1	1
ZNF836	8
DUSP2	4
ST13	1
LHX5	2
ANKRD20A2	0
SPINK13	0
TEX11	0
TBL1Y	0
RP11-463J10.2	0
C11orf48	2
AHSG	4
ZNF529	7
ZCCHC16	0
PRDX3	0
ACCS	6
CERS4	3
LTV1	2
MKNK2	2
MIA2	3
EXOSC3	6
STUB1	5
GPR137	8
SPEM1	2
SPACA4	3
CXCR3	0
DOCK4	10
SMARCE1	5
TMEM26	5
C17orf62	2
TLR5	3
MAPKAPK2	1
EIF2AK1	1
FSBP	0
ARHGAP35	10
CTC-273B12.7,CYTH2	3
ZNF532	9
ERI3	7
TRPC4AP	3
DLG3	0
NLRX1	11
ZKSCAN3	1
GSDMA	4
CDCA7	2
SLC25A16	4
NCKAP5L	25
PIK3CB	7
FANCB	0
SYAP1	0
C6orf118	3
NFYC	4
DAK	7
TNFSF8	2
ENY2	0
YBX2	5
ANAPC13	0
PTPN11	6
VCX3A	0
ZFP30	2
TPGS1	1
BCL2L12	3
AL590714.1	0
FOXB2	6
ZCCHC17	3
AC007401.2	0
CYP2S1	7
HS6ST3	3
CR2	14
ZDHHC14	2
GUCY2C	13
MIEF2	8
PRM1	0
FAM71F1	1
CSF1	4
UBR1	8
CDKN1B	3
IQCF5	0
RP11-159G9.5	0
CCDC81	3
CYB561D2	1
ERV3-1	0
METTL7A	3
NABP2	3
DKC1	0
HIST1H1A	3
SMIM14	0
CACNG8	4
OGN	2
AP001024.2	0
COLEC12	18
RNF149	9
CNEP1R1	1
ZFP62	1
NUPL2	5
AQP7	3
CXCR2	2
CCDC84	5
TMEM37	8
DDX39B	5
RPN2	3
RAI14	4
LMBRD2	3
C1orf192	2
MUC17	13
FEZF2	8
RPS24	4
SCIMP	1
EFHC2	0
NUDT3,RPS10-NUDT3	1
ZSCAN20	8
ST7	5
TRBV4-1	0
KRTAP10-10	0
ACPP	6
PROKR2	1
OXCT1	8
PCDHA13	12
TRBV29-1	1
SYTL2	7
MCM7	9
CLEC16A	16
PIK3R2	10
GDI2	4
SF3B14	1
RAB32	2
APIP	3
GPX6	2
RP11-20I23.1,TBC1D24	3
UBE2M	2
TRAJ33	2
DAG1	11
C9orf153	2
RHOV	4
C1orf234	0
DYNC1LI2	4
CRYBG3	5
LSM4	4
RPL24	4
TMEM71	2
TBX19	7
PTGDR2	0
C13orf45	0
PIPOX	4
CASC3	7
ZNF257	5
AC068620.1	0
TSSK1B	6
FYCO1	13
SDHAF2,RP11-286N22.8	0
KCNB1	12
MRI1	5
RP4-758J18.2	0
PAPOLG	4
SPINK4	1
OTUB2	0
CYP2F1	6
ANKRD34B	2
DLAT	5
JPH3	23
CHIT1	7
ADAM19	8
FGGY	11
LILRA6	6
TAF4	10
RITA1	5
C1orf213	0
ATP5D	2
LRRN2	8
CCDC9	0
TSSK6	6
CDC5L	6
ANKRD20A1	0
ZNF511	1
MARCH1	4
OR8G1	1
ITGAD	19
C6orf15	6
ARPC5L	2
FNIP1	9
CHCHD1	1
NR2C2AP	2
RET	13
C1QL1	6
STOX1	10
HNRNPF	8
PREX2	16
GEMIN8	0
RAB9B	0
HIST1H2BA	3
SDC1	8
TUBD1	2
TADA3	4
SKP1	1
CACNA2D2	8
MYBBP1A	14
ARHGEF35	0
PRPF19	3
ZNF575	4
DSTN	0
CECR1	8
ANTXR1	5
SPI1	6
FANCD2OS	1
HRNR	76
RIC8B	0
ATL1	5
STRAP	3
LY86	5
CCSAP	5
ROGDI	3
NUDT17	1
ANKRD62	1
GPI,RP11-618P17.4	2
PDHX	6
CCS	8
PLD1	11
STXBP2	6
TEF	2
CRP	4
RELL2	9
NEGR1	2
FAM90A26	0
MCOLN2	4
MMP1	6
SLC12A3	14
RNF222	3
IL9R	0
WDR13	0
RDH14	2
TM7SF3	4
EMR3	5
SEC23IP	9
PCGF1	1
APC2	23
KIR3DX1	4
DDX47	4
SNAI1	2
FAM209A	3
SPICE1	7
WRNIP1	12
CHMP4C	1
AL049840.1	1
NLRP3	12
ZNF330	3
CSRP1	6
ATP8A1	10
ZNF705G	4
FBXO32	3
TPRXL	0
OR8G5,OR8G1	1
RHAG	3
SLC6A6	15
CD52	1
LRIF1	1
XPO1	5
TAS2R16	2
SLC16A12	2
MBP	4
BPIFB1	4
C17orf104	4
PEPD	6
TMIGD2	7
ABCA8	15
DDC8	5
NEDD4L	11
MORC3	6
IGBP1	0
REV3L	16
MYO1D	5
NMRAL1	6
OR10Q1	3
ANAPC5	5
SP1	23
TF	8
MPC2	0
CSN1S1	1
GPR110	7
PTX4	18
TRBV5-6	0
ZNF618	15
NAGPA	13
PRKCSH	8
PPP4C	5
C1orf195	0
HMX1	0
GPRC6A	9
KRIT1	2
CLDN10	3
ACOT2	2
YPEL2	1
TCP10	1
ADCY1	17
TNC	45
KRT12	11
KLF9	1
ANGPT1	3
APOL4	3
BCL9	27
C18orf56	2
HCAR2	3
ERF	10
ZNF208	17
DNMBP	12
CPM	4
SERPINB3	2
AKAP17A	0
TXN2	3
SLC37A4	9
NR2F6	3
PARD6B	3
HELLS	4
HTR3A	6
L1CAM	0
PIGY	0
SCYL1	12
ZNF91	11
TRDJ3	1
UBB	5
URGCP	7
PAFAH1B3	2
PKMYT1	10
OR13H1	0
NKAIN4	3
FBXO33	6
POLA2	4
TXNDC5	2
BBS7	6
USP12	2
TAF4B	6
MICU3	4
AL031666.2	3
XIAP	0
RUNX1	1
GXYLT2	5
TRIML2	3
RNF186	3
TFEC	3
POMT2	6
AC011530.4	1
RBBP6	11
IFNA16	0
ATP6V0C	5
POTEE	0
SPRR3	4
AAR2	3
C9orf72	3
ACTG2	7
GALNT4,POC1B-GALNT4	5
FBXL3	5
LCE3A	1
KAT8	1
HPRT1	0
OVCH1	14
GALNT8	5
ANKRD20A4	0
ZNFX1	19
PTPN12	6
HADHA	9
STOM	1
ZNF737	0
RBM12B	17
KDELR2	2
MS4A5	1
CCR7	2
WDR81	29
PHLDB3	4
PCIF1	6
PHYH	2
AC006486.1	0
GOLGA4	2
CTD-2287O16.3,AQPEP	0
MEGF10	25
TFCP2L1	6
ART3	2
SCRN3	3
IQCD	3
APOA1	3
TTC18	8
PSMD2	6
OR5M3	3
MAB21L2	2
CDIP1	3
SLC26A6	10
NOTO	0
TMEM5	3
ARL9	1
CRYGA	1
PIGF	1
RSAD2	3
ATP6V0A2	8
SLC32A1	11
KRTAP9-7	0
TSNAX-DISC1,TSNAX	0
GOLGA8N	0
CLTB	1
LYZL6	1
HIF3A	11
SKA2	0
POLR3D	3
GNL3	4
PRR18	0
CHRNB2	2
SPATA9	0
RP11-432B6.3,IFT80	4
GSG2	9
TRIM60	2
HIST1H3H	0
AC131971.1	3
SAP18	6
ZIM2	3
ZNF592	14
PRKAG3	4
C16orf59	5
GLIPR2	4
NEURL1	6
ZNF865	6
SPATA21	2
FIBCD1	7
PDGFRA	12
TIFA	1
PDE3B	14
ELTD1	4
NUBP2	8
ETNK1	4
RP11-434D12.1	0
FAM167B	1
CHIA	10
TRAJ2	1
H3F3B	5
GMFB	0
PPCDC	2
MGAT3	10
H1FOO	14
VN1R1,AC004076.9	0
MED28	6
SEPHS1	4
DRD1	3
RP11-126K1.2	0
TRBJ2-2P	1
LCE2B	3
RP11-812E19.9	0
ZBTB7C	17
FOXM1	7
IDH1	4
GART	11
AC009365.3	0
TBX21	8
DPH3	1
MMEL1	6
DPM2	1
GPR45	3
BROX	1
CLEC18A	0
FXYD3	4
C1QL2	8
ZNF586	5
HIST1H1E	0
SLC6A15	10
SERPINA12	7
RPL4	3
HSPA1L	4
AQR	10
ADIG	0
ASPG	8
TMEM256	2
DNAJC2	1
C1orf63	1
PRR4	2
SUMO3	2
FXYD6-FXYD2,FXYD6	0
C14orf2	3
ARFGEF2	12
IDH3B	5
AC120194.1	0
TRIM4	2
RRBP1	8
PCDHA2	9
CARD11	10
RGS16	3
FOXE1	6
LIN7C	1
CCDC36	5
TPSB2	2
PCDHB15	9
C5orf52	2
SH3GLB1	1
FSTL5	11
NDST4	7
ARG2	4
GAS2L2	18
OTUD5	0
BABAM1,CTD-2278I10.6	0
RPS27L	0
MTA3	4
PPP1R11	3
MRPL20	2
INSC	8
SRSF2	6
CD63	4
GSAP	7
EIF3I	4
PDE4B	8
ISYNA1	6
ASB14	5
HSPB6	0
TPMT	1
LRRC40	1
SEC24C	21
STX7	2
SASH1	11
FAM160B2	3
KLRB1	0
NOTUM	7
PPIF	6
SFPQ	14
BCAN	12
COPZ2	0
PCNXL3	25
GAB3	0
TMEM170A	2
STRN	9
LCE2D	4
ESPNL	16
GAPT	1
IL2RB	6
JOSD1	1
NCBP1	4
RP11-661C8.3	0
LGI2	5
NAPSA	13
WIPF3	2
KIAA1715	2
PCTP	3
MARCKS	3
ACOT7	6
UBL7	2
ETFA	2
AC013449.1	3
FAM172A	2
IQCJ-SCHIP1,SCHIP1	1
CCDC27	4
C15orf57	0
KLF2	2
NUMBL	5
C19orf55	4
IFNLR1	2
TRIM31	2
SYNPO2L	14
S100A7L2	0
CRIP1	3
TSPAN15	3
FOXD3	7
ACBD5	12
OR6C3	2
RIT1	1
TRBV25-1	2
SLC25A39	6
HIST1H2AG	6
GIMAP6	5
DCAF5	9
RBP4	2
CHCHD5	0
HFE	3
CLDN11	2
GPR4	3
SH2B3	2
RGPD8	0
CCDC71L	1
RSPH3	7
ECHDC2	8
ZNF385B	2
C19orf47	10
HARBI1	5
RNF157	9
MAP4K5	4
ZNF33B	5
LAMP2	0
ZPBP2	4
RHOT2	21
TAS2R14	3
OR4F5	0
FXN	4
UBE2D4	1
RPH3A	8
DNAH10OS	0
SOX5	11
CEP57	2
RCC2	9
C1orf194	0
CTB-186H2.3	0
CNTNAP3B	1
BTLA	0
HSD17B1	8
DUSP11	9
PCDHB11	13
IGFBP6	2
ST6GALNAC3	3
ACBD6	2
ZNF837	5
IGKJ3	0
FOXD4L6	0
FAM195B	0
RAPGEF2	10
C5orf48	2
MYOZ3	5
TRAJ56	1
OR52R1	4
CNOT6	4
FBXO18	10
ENTPD6	10
HHLA1	3
KRBA1	20
TRIM72	3
RYR1	46
TMEM255B	5
MLLT4	10
PSG4	1
SERPINB7	6
NME3	5
TBC1D8	7
MBTPS2	0
IL19	0
SPAG1	7
PRPF40A	6
DCTD	4
ANK3	31
IQSEC2	0
UBE3C	12
KRAS	0
TMTC1	7
KLF12	2
TRAJ45	1
CLPX	9
PI4KB	11
CAPN3	8
TAZ	0
FTSJ2	7
CASP10	3
PPT2	2
NUP133	2
OR10X1	3
TSPAN14	4
RP11-47I22.4,PRKCH	1
COBLL1	5
MIIP	7
CYP4F3	0
PDE4D	1
TMEM225	0
HOXC10,RP11-834C11.12	0
NDUFV2	1
GAR1	10
ITPKC	8
C5orf47	2
KCNB2	9
PHKG1	5
PCNT	39
CXCR1	1
MAS1L	1
ALS2	21
WDR91	13
ITLN2	8
AP2S1	0
SPIN2A	0
TTLL7	4
WNT7A	8
SQSTM1	12
GRIK3	12
RTN3	12
NKX2-2	10
MGC10955	1
SCN11A	10
SKIL	3
C18orf8	2
TFAM	1
PIAS2	2
AXDND1	4
IRX5	11
CGGBP1	1
TSPAN4	6
KRTAP16-1	1
TRAJ52	0
FTO	4
NOC2L	13
SRSF8	2
CTC1	12
CLDND2	3
NECAP1	2
ZNF628	0
NIFK	2
FBXO43	4
MOV10L1	10
AMZ1	15
LRFN4	8
TBC1D19	0
KIAA0368	13
GALNT11	5
C1orf137	0
ARHGEF11	14
SDF2	3
GNB1L	11
MXRA5	0
OR10AG1	0
SH2D6	1
IL31RA	8
PTPMT1	1
ATXN7L2	10
ITGA9	12
MACC1	3
XIRP1	38
TRAV39	0
HIF1A	10
IFT27	1
DCAF17	3
SIGLEC9	0
MUM1	8
TLR9	15
CCDC126	1
DFFA	2
UGT1A7	2
SYT5	3
CATSPER4	2
CTAGE15	0
AP000688.1	0
SETDB1	15
PEMT	3
ZBTB7B	10
VPS37D	2
PKN3	13
FAM169B	1
TINAGL1	5
GTF2H2	0
BBIP1	0
RBPJ	6
PHYHIP	5
PMP22	2
OR10AD1	1
QSER1	12
CUX2	16
NRG3	6
CCDC37	7
ZNF684	2
KRT79	13
ETFB	2
GLIS1	11
PLEKHA7	15
MRPL51	2
RP11-1021N1.1,C16orf45	0
ZNF615	7
ACTR2	4
ABCC9	8
GFAP	5
PLK5	2
SLC35C2	5
PLAGL1	3
ACTG1	19
CIRBP	4
CYBRD1	4
CCDC96	10
PAX5	8
C20orf202	0
SLC26A2	3
KIAA1549	15
SYBU	8
CD3G	1
THAP4	7
ENDOD1	5
GPD2	6
SAMD9L	5
PRSS37	2
DAPP1	3
ASPN	2
ZNF267	0
PIFO	1
C10orf35	1
IQGAP2	6
FDXR	3
RP11-131H24.4	0
AFF3	10
KRT80	3
IMPA2	3
ZNF729	0
TTI1	6
C7orf34	2
CSTA	3
IGSF1	0
INO80C	2
SMYD3	0
ALPK2	32
MAP2	22
HS3ST3A1	6
FUS	40
ARMC3	1
TREX1	4
TUBGCP4	5
HPS6	20
C19orf43	2
LARP6	4
ABHD1	1
FAM46B	4
FCRL5	16
TCFL5	4
TRBV6-5	0
TESC	0
ARHGAP23	6
TRMU	9
STK36	7
OR13C4	4
KRT37	1
ARMCX1	0
WDR33	27
EVC2	25
ADAR	20
IL17REL	5
TRBV7-8	0
ERMAP	5
GNL1	9
PRKG1	11
CCRN4L	2
COL27A1	66
DESI2	3
NFX1	7
IFT140	16
MAGEC3	0
SMIM21	0
ZNF471	1
ZNF829	1
CRNN	9
RTEL1,RTEL1-TNFRSF6B	16
C3orf70	2
PRPSAP2	4
ARV1	2
SCMH1	6
CLEC4M	3
C1orf43	2
VOPP1	1
OLFML1	5
CYP8B1	6
FLI1	5
COPG1	0
TRAJ10	1
PYCR1	5
SERINC2	8
C11orf83	2
ABHD11	7
PPAP2A	3
CACNA1I	27
ANP32D	3
KCNV1	3
RP11-45H22.3	0
RBM44	4
MEF2A	3
PKIB	0
RP11-101E3.5,NUP188	1
RAB31	0
SEPT5	2
PARVB	3
ZNF83	3
MIOX	4
CMTM1	4
KDM7A	4
CTBP2	17
GLOD4	8
C6orf120	7
MARVELD1	1
CD47	0
RP11-1070N10.3	2
DNMT3L	5
ATG4A	0
DTNBP1	2
CYP4Z1	0
ATP5B	4
NDUFA2	3
SPIN1	3
OR6S1	6
SARNP,RP11-762I7.5	0
MT4	1
KIF5A	10
LRRC8D	5
WLS	7
CCDC89	1
IRX6	8
TGIF2-C20orf24,TGIF2	0
SCRT2	4
C1orf200	0
ZC3H7B	11
KLRF1	3
SLC25A14	0
CYP26A1	10
SIPA1	10
PRMT10	4
IMP4	3
MRPS36	1
STAP2	6
MAP3K2	9
USH1G	5
HIST1H2BE	0
RP11-379H8.1	0
THUMPD3	2
IDH3G	0
AGAP1	7
TFIP11	0
CLNK	4
MRPS30	1
CLEC14A	11
HUWE1	0
PARP8	10
CDK6	3
KRTAP3-2	1
GRID1	19
TMCO3	7
LILRA3	9
TAF1C	11
PRIM2	1
RHOF	1
LRCH2	0
NCK1	2
GOPC	10
ZNF461	9
AP1G2	7
ELAVL3	8
CLN8	5
IGSF8	8
OR11H12	0
RNF103	6
PLBD2	3
FAM78A	0
HSDL1	2
EDA2R	0
C1orf52	0
C22orf26	0
RAD21	3
PLGRKT	3
CAB39	1
AL162407.1	0
TNNT1	1
CTC-435M10.3,TMEM91	0
DENND6B	3
PARP15	3
SLC27A5	10
RGL3	5
PCDHGA5	0
SLAMF9	3
SCN10A	32
TMEM41A	2
PBLD	3
TSKS	8
LRRIQ4	4
CAPZB	3
PAX2	4
TGM5	5
RNF175	3
CLEC12B	2
GOT2	3
CYP3A4	4
ZNF106	16
KRTAP23-1	3
FAM120AOS	4
OR5G3	1
OTUD7B	18
SCN9A	10
OR5B12	4
HTR3B	5
PDK1	1
RNPEPL1	4
SERPINA10	5
ICOSLG	3
MAGEB16	0
SLC52A1	11
CLDN14	4
TNFAIP8L1	2
IFIT5	2
ICT1	2
FKBP1B	4
PCSK4	12
INPP4A	3
ANKRD34C	6
KIF14	2
TRGJP	0
SESTD1	5
DECR2	11
OGDHL	12
MTMR7	7
TXNIP	3
UBE2H	0
IVNS1ABP	3
LRP12	10
DOCK9	13
P2RY12	4
FSTL1	1
MIF4GD	2
CXCL13	0
IGKV1-9	0
TARBP2	6
MYCBP	0
CCP110	8
ZNF705A	0
IL18	0
MLLT1	6
PODNL1	8
GATA5	2
ICAM3	9
LRSAM1	4
MAP1LC3A	0
CHST9	2
TRIM29	12
CREM	1
CX3CR1	5
KCNF1	4
PSD4	19
SERPINA9	5
CHST7	0
CACNB2	1
NHLH2	0
PLD2	15
OR1L3	1
RNPC3	2
A4GALT	4
PRR7	2
TPH1	1
EDN3	4
VPS11	6
HLF	0
CRAT	8
SNAI3	8
PXDN	12
CNFN	2
TPRX1	8
ZNF697	6
NISCH	18
DAXX	2
ABHD2	5
MS4A4E	0
SUFU	7
OR5M11	5
ZNF234	8
ZCCHC14	16
TEX261,AC007040.11	0
OBSL1	38
C7orf57	3
SNX33	4
OR2T12	0
TOR1AIP1	3
LRRC19	6
KMT2A	34
CCDC71	4
CDH12	11
SMIM20	1
OTOF	19
C8orf49	2
ZNF639	1
OR4M1	0
USP4	9
SALL3	32
FRG1	0
AGK	7
AIF1L	1
RAG2	4
GTF2H5	0
IRF8	10
CDKAL1	4
CIB1	2
PCDH1	14
NMNAT2	2
ATXN2L	0
ABCC6	17
FPR1	0
ZP4	10
CA7	4
C12orf5	2
C2orf88	0
CPLX2	0
KLF4	13
OLR1	1
KRI1	4
MGME1	1
TNFSF12-TNFSF13,TNFSF12	1
RP1-32I10.10	1
ZNF711	0
EMX2	0
UBE2D3	1
POPDC2	4
IGSF11	3
METAP2	7
KCTD15	2
PPIG	2
NUP155	5
OR2J1	4
SAC3D1	0
PPDPF	0
C21orf91	1
DGAT1	5
ZNF112,CTC-512J12.6	0
THSD4	12
ZNF490	6
GMIP	10
GSDMC	1
HRH1	2
SOST	1
MBD3L3	0
NSFL1C	3
IFRD2	11
GPR98	58
GLTPD2	2
RP11-116D17.1	1
DUSP14	4
SMAD6	8
DTX4	13
FOSB	1
UBE2R2	0
KCNJ3	7
C14orf164	0
TSSK3	4
C3orf80	4
PXDC1	3
CES3	8
PRDM6	3
ING3	1
SLC2A9	8
ASB8	1
ADD2	5
SLC35B3	4
ASIC1	5
PLCL2	10
REEP6	1
SMYD4	5
IGLV8-61	2
IGKV2D-24	0
PREB	2
KLHL17	9
TRIM38	2
GPR174	0
DCAKD	3
CSF1R	11
SPTY2D1	7
GNRH2	1
RFPL4B	1
SPNS1	8
TRPC1	5
ANO10	2
RNF17	9
RP11-553A10.1	0
PPP1R14A	2
VRK3	3
EIF1AY	0
PBOV1	0
RPL38	0
SMLR1	1
ZNF709	6
HIST1H2BM	0
TRIM59	0
LRRC49	4
SEPT10	3
SLC6A4	6
SSTR3	8
KRTAP1-1	3
OXT	4
SLC25A17	2
HIPK2	8
C1QTNF8	10
WRAP73	6
RRM2	6
KCNJ13	0
NGEF	5
THRB	4
EMD	0
PCDHGA11	13
CST6	2
SFSWAP	14
ZCWPW1	5
IWS1	10
BATF3	0
AHNAK	83
NRK	0
MKRN3	9
NBPF10	0
HMSD	0
H3F3C	1
BEX5	0
TM9SF2	4
HEBP1	5
KRTAP4-1	2
IGFL2	0
BET1	4
CHRNA1	5
MAP3K19	8
SEMA7A	8
IMPA1	2
ADARB1	4
SLC16A8	13
MMAA	5
METTL10,RP11-12J10.3	1
NUBP1	5
PEAR1	21
OSER1	4
SLC31A1	1
BIRC3	2
PNPLA4	0
TMEM109	3
DLST	6
C3orf67	2
NRXN2	33
NEK7	4
CTXN3	1
SPINK7	2
PTP4A3	0
HLCS	10
TTC24	3
MTHFSD	6
NFAT5	13
LCE2C	6
OR2T33	0
DES	4
WAC	1
SLC2A13	5
ZNF671	8
CD3D	1
ATF7IP	6
FAM86B1	0
TRPC6	6
AC069368.3,PLEKHO2	0
GPR176	2
TMEM55A	3
CDR2	0
ACOT13	2
HEPACAM2	6
PSMC2	3
CCL5	0
MRPL53	5
TEX19	8
MIER1	7
SPHK2	16
BPIFB2	3
FAM200B	0
FAM92A1	0
RAD51AP1	0
MYH7	9
MAPKAP1	2
ZNF383	4
VIPR1	2
DENND6A	8
CACNB3	7
EWSR1	18
GZMA	2
MAGI1	17
PCDHB13	2
LST1	5
AFF2	0
PRSS3	6
ANKRD53	8
RGS7BP	3
MED19	1
OPA1	4
LPPR3	9
KIAA1324	13
PTGER4	5
ADORA3	4
HBA1	0
MAB21L3	1
EPAS1	9
C11orf68	6
NOG	4
FOXJ2	7
